actual,predicted
14322.999999999998,14044.183
15219.0,14747.911
15174.0,14946.05
14998.000000000002,14868.291
14931.0,14742.816
14727.999999999998,14577.354
14516.0,14325.1455
14313.0,14054.867
14107.999999999998,13838.975
13880.0,13681.472
13821.999999999998,13589.95
13766.0,13623.781
14105.0,13783.532
14420.0,14043.969
14277.0,14191.783
13919.0,13930.297
13343.0,13228.815
12639.0,12451.597
12232.0,11966.896
11981.0,11692.268
11950.0,11540.304
11872.0,11542.388
11909.0,11783.906
14322.999999999998,14084.246
15219.0,14712.464
15174.0,14949.748
14998.000000000002,14954.915
14931.0,14797.323
14727.999999999998,14552.863
14516.0,14296.035
14313.0,14054.141
14107.999999999998,13811.809
13880.0,13589.446
13821.999999999998,13485.868
13766.0,13493.956
14105.0,13664.291
14420.0,13976.235
14277.0,14151.386
13919.0,13902.387
13343.0,13280.128
12639.0,12555.837
12232.0,12011.57
11981.0,11796.805
11950.0,11716.909
11872.0,11669.875
11909.0,11811.748
12253.0,12364.711
15219.0,14889.699
15174.0,15004.497
14998.000000000002,14985.749
14931.0,14950.021
14727.999999999998,14707.809
14516.0,14384.29
14313.0,14141.083
14107.999999999998,13951.08
13880.0,13752.675
13821.999999999998,13566.763
13766.0,13638.343
14105.0,13894.245
14420.0,14178.112
14277.0,14330.824
13919.0,14094.168
13343.0,13443.14
12639.0,12702.0
12232.0,12205.113
11981.0,11953.294
11950.0,11881.317
11872.0,11863.351
11909.0,11920.967
12253.0,12335.452
12715.0,13188.239
15174.0,14967.037
14998.000000000002,14955.962
14931.0,14956.329
14727.999999999998,14743.307
14516.0,14401.669
14313.0,14206.754
14107.999999999998,14070.11
13880.0,13882.092
13821.999999999998,13802.249
13766.0,13795.236
14105.0,14022.11
14420.0,14334.483
14277.0,14512.961
13919.0,14224.929
13343.0,13507.797
12639.0,12761.075
12232.0,12236.731
11981.0,11990.579
11950.0,11886.154
11872.0,11861.572
11909.0,11944.72
12253.0,12390.198
12715.0,13186.663
13283.0,13692.898
